"model","term","estimate","std_error","statistic","p_value"
"real_its","(Intercept)",2.17296279633105,0.32931625435911,6.59840735939348,3.78758607623023e-10
"real_its","t",0.022647625908318,0.00571823835327442,3.96059494360695,0.000104588846903655
"real_its","I_post",1.08026779943421,0.460009402730929,2.34836025746649,0.0198525635886363
"real_its","post_time",0.0157338966515848,0.00796819409235501,1.97458752500526,0.0497192577254
"placebo_its","(Intercept)",2.40348747039839,0.476186132217624,5.04736973167451,1.01965022663456e-06
"placebo_its","t",0.00945288426985349,0.0165786731390108,0.570183403134367,0.569206330248591
"placebo_its","I_post_p",0.218222876896214,0.545345311513827,0.400155410322404,0.689477836334476
"placebo_its","post_time_p",0.033087942034587,0.016859444780374,1.96257601988794,0.0511106087934098
